anchor,comparator,metric,seed,anchor_value,comparator_value,delta
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,0,175.45182291666666,208.73828125,-33.28645833333334
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,1,160.79869791666667,96.23359375,64.56510416666667
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,2,150.16197916666667,178.62630208333334,-28.464322916666674
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,3,126.05572916666664,148.68828125000002,-22.63255208333338
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,4,176.9059895833333,168.72317708333335,8.182812499999955
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,5,99.97057291666668,143.48359374999998,-43.5130208333333
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,6,140.42916666666667,187.39895833333333,-46.96979166666665
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,7,163.88880208333333,178.75364583333337,-14.864843750000034
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,8,270.65625,119.99114583333332,150.66510416666668
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,9,182.87291666666667,130.21588541666668,52.65703124999999
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,10,138.59583333333333,186.3747395833333,-47.77890624999998
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,11,187.77109375,186.94010416666663,0.8309895833333769
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,12,189.39973958333331,144.93515625,44.46458333333331
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,13,174.7458333333333,158.31901041666666,16.42682291666665
learned_tau_delay10_selfmodel,learned_tau_delay10,auc,14,120.33385416666664,179.11406249999996,-58.78020833333332
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,0,257.17,335.475,-78.305
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,1,231.21000000000004,99.185,132.02500000000003
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,2,149.575,158.03,-8.455000000000013
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,3,146.47499999999997,204.145,-57.670000000000044
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,4,222.62,251.28000000000003,-28.660000000000025
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,5,122.375,116.52,5.855000000000004
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,6,213.1,251.875,-38.775000000000006
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,7,200.8,308.25,-107.44999999999999
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,8,391.1,128.785,262.31500000000005
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,9,149.19000000000003,137.21499999999995,11.97500000000008
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,10,131.90499999999997,245.285,-113.38000000000002
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,11,409.99,258.615,151.375
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,12,196.355,150.82999999999998,45.525000000000006
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,13,212.545,217.18,-4.635000000000019
learned_tau_delay10_selfmodel,learned_tau_delay10,final_mean,14,154.815,267.88500000000005,-113.07000000000005
